 ,toolname,alternate name,what can this tool do for you?,primary_purpose_consolidated_CLSCor_vocab,Language_consolidated,Language_comment,Version_consolidated,Version_comment,Version Date_consolidated,Version Date_comment,Works on Operating Systems (consolidated CLSCor vocab),Works on Operating Systems_comment,License (consolidated CLSCor vocab),License_comment,Distribution,User interface,How does the tool process your text,output_format (consolidated CLSCor vocab),output_format_comment,statistical_models,input_format (consolidated CLSCor vocab),input_format_comment,Which other tools from this list does this tool integrate?,metric,visualisation,formalism,tagset
1,Arborator Grew,,"Arborator Grew is an interactive and user-friendly on-line tool for annotating treebanks. It provides annotation management over several users with different editing rights. It can also be used in the classroom. The teacher can provide correct solutions and make them visible for the students to a varying extent.  
Functionalities: query language + writing functions, collaborative dependency annotation ","annotating, applying NLP methods",language-agnostic,Any (it is language-agnostic),unknown,,unknown,,"Linux, MacOS, Windows,  Unix",all,Copyright Not Evaluated,Fully free,"web service, local server with client integrated in the web browser",web browser,it displays,,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",CoNLL-U,,,,,Grew syntax,
2,conll-u editor,,"This tool allows you to manually create or edit corpora annotated with Universal Dependencies. It provides a particularly user-friendly tokenization editing, that is, it is very easy to delete, split or merge tokens or sentences – a feature that is not automatically provided with annotation tools! Also, the sentences can be visualized as trees or flat graphs or tables. ",annotating,language-agnostic,Any (it is language-agnostic),v2.20.0,,2023-01-22,,Linux,"the server runs on Linux, but the annotation runs in web browsers across operating systems.",BSD 3-Clause License,Fully free (BSD 3-Clause License),local client-server system,web browser frontend,It loads a CoNLL-U file and allows you to edit it. ,CoNLL-U,,"This tool is not a statistical model a set of statistical models, and it does not include statistical models.",CoNLL-U,,,,,Universal Dependencies,Universal Dependencies
3,INCEpTION,,"This tool lets you to manually add markup to your documents. It can even learn from your supplied annotation and pre-annotate. Mind that the performance depends on data size and annotation complexity (e. g. the number of labels). However, it is a high-quality tool even without considering the pre-annotation option at all. ",annotating,language-agnostic,Any (it is language-agnostic),v27.0,,2023-03-07,,"Linux, MacOS, Windows",,Apache Software License 2.0,Apache 2.0,".jar file, local server installation with client opening in a browser window (Chrome, Safari, Firefox)",client in the web browser,"It reads in your tool, allows adding markup according to templates (defined by you or pre-defined) and stores it.",TEI,although issues may arise when it should preserve some previously added markup,"This tool is (not) a statistical model / a set of statistical models, but it does include statistical models.
You can easily train your statistical model to plug in this tool. ","CoNLL 2000, CoNLL2002, CoNLL 2003, CoNLL 2006, CoNLL 2009, CoNLL 2012, CoNLL CoreNLP, IMS CWB VRT, ConLL-U, HTML, NIF, PDF, PERSEUS_2.1, TCF, TEI P5, TXT, TSV, XML",This tool accepts many formats. See https://inception-project.github.io/releases/27.0/docs/user-guide.html#sect_formats,,,,user dependent,user dependent
4,DraCor,,"DraCor simplifies accessing specific parts of a TEI annotated dramatic texts (such as the spoken text per character, spoken text of characters by gender, stage directions, etc.) DraCor automatically extracts textual features (e. g. number of characters, speeches, scenes, etc.), generates networks based on co-occurrences of characters in a scene, and calculates network metrics. The derived data can be exported in various formats, e.g., JSON, CSV, RDF but also specialized formats, e.g., GEXF format to be used in Gephi, a tool for network analysis. The DraCor API offers numerous options and additional formats for further processing of the unified metadata. A local instance of the DraCor system can be set up using Docker, which can be used to work with custom corpora or in copyright material.","corpus management, applying textometry methods, 
information extraction",language-agnostic,Any (it is language-agnostic),v0.87.1,,2022-12-30,,"Windows, Unix, MacOS, Linux",,Copyright Not Evaluated,Fully free,Cloud service,"GUI, API-REST","Returns some metrics as numbers or tables. 
Returns some visualization (plots, interactive elements, etc.).","JSON, CSV, RDF, GEXF, TEI","The tool requires text in XML-TEI, adds its markup in XML-TEI, and ensures valid XML-TEI on the output. ","This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",TEI,"Should conform to DraCor Schema (see https://github.com/dracor-org/dracor-schema/tree/main/odd). The tool requires text in XML-TEI, adds its markup in XML-TEI, and ensures valid XML-TEI on the output. ",,,,,
5,IMS Corpus Workbench,alias CWB,"The IMS Open Corpus Workbench is a tool for managing and querying text corpora. It is a prequel to other big corpus managers such as KonText, where the main difference is that CWB is just the server part (backend) that can be supplemented with a web-based GUI like CQPweb. ",corpus management,language-agnostic,Any (it is language-agnostic),v3.5,,unknown,,"Linux, MacOS, Windows",,Copyright Not Evaluated,Fully free,Local server-client installation,"GUI, API",Allows you to search through your texts and returns matching results.,,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.","CoNLL-U, VERTICAL","The input text has to be transformed into a vertical, CoNLL-U-like format. ",,,,CQL,
6,Kontext,,"KonText is an advanced and customizable corpus query engine built above the Manatee library of NoSketch Engine. KonText is intended for professional use and deployment in organizations with many users, rather than for home use. Its main features are: full support for parallel corpora, partial support for syntactically annotated and spoken corpora. Manatee is a token-based backend that is fast and scalable, but its support for corpora with complex annotation (organized in multiple interfering layers) is limited.",corpus management,language-agnostic,Any (it is language-agnostic),v0.17,,2023-02,February 2023,Linux,,Copyright Not Evaluated,Fully free (GPL 2.0),Local server-client installation,"GUI, API","Allows you to search through your texts and returns matching results.
Returns some visualization (plots, interactive elements, etc.).
",,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.","CoNLL-U, VERTICAL","The input text has to be transformed into a vertical, CoNLL-U-like format.",,"Statistics expressing the mutual attraction of two words or short text segments (MI, Log-Likelihood Ratio)",,CQL (Corpus Query Language),
7,SimpleCorp,,"SimpleCorp is primarily intended as a teaching tool for NLP courses. It allows students (or researchers) to create a corpus from a collection of documents, as long as they have an SSO login. And it tries to make that process as straightforward as possible. Upon upload, the tool converts the documents to TEI/XML, and then applies a pre-defined NLP pipeline. After uploading a collection of files, it will compile a searchable corpus in CWB from the collection of XML files. 
There currently is no docker instance, but once out of beta, we intend to create a docker instance","corpus management, applying NLP methods",language-agnostic,The tool can work with any language supported by the UDPipe REST service,v0.6,,2023-01-15,,"Linux, MacOS",,Copyright Not Evaluated,to be determined,Server-based tool,Web-based,"Drop-and-drop files.
Automatic conversion to TEI/XML (TEITOK style).
Automatic application of NLP pipeline.
Automatic creation of a searchable corpus.
","TEI, XML","The whole tool is TEI/XML based, with minimal deviation from the standard to make it possible to edit and process/display, but all such deviation can be converted to standard TEI in the export.","This tool is not a statistical model / a set of statistical models, but it does include statistical models.
SimpleCorp is a streamlined, but restricted instance of TEITOK, which does not itself allow any training, but only applies pre-defined NLP tools (currently UDPipe2). But the project itself can be exported to TEITOK, where tools can be trained.","TEI, XML","The drag-and-drop module converts from a number of different format, so that ideally no pre-structuring is necessary. But all internal files are TEI/XML. The whole tool is TEI/XML based, with minimal deviation from the standard to make it possible to edit and process/display, but all such deviation can be converted to standard TEI in the export.","udpipe, IMS Corpus WorkBench, TEITOK",,,"CQL, Universal Dependencies",Universal Dependencies
8,TEITOK,,"TEITOK can be used to create corpora and keep a wide range of different types of information (facsimile alignment, audio alignment, dependency relations, pos tagging, geolocation information, IGT, morphological data, parallel alignment, witness alignment). It then provides various interfaces to exploit all these types of information, and in most cases provides an editing environment as well to provide automatic annotations and manually correct or create annotations. It also provides searches through the corpus, either using CQL for simple annotated files, or Grew or PML-TQ for dependency parsed corpora. It also provides specific search functionality for parallel corpora (be it based on translation or on witnesses) as well as for spoken and facsimile aligned data. 
This tool is compatible with UDPipe, Corpus WorkBench, DraCor, NameTag, QuitaUp, INCePTION, GrewMatch, NeoTag.","corpus management, applying NLP methods, applying textometry methods, annotating, information extraction",language-agnostic,"The tool is fully language independent, and has support for right-to-left (RTL) languages, as well as non-alphabetic scripts. TEITOK has been often used for NLP on left-to-right (LRL) languages such as Ladino or Sardinian.",v3.2.781,,2023-12-29,,"Linux, MacOS",,Copyright Not Evaluated,Fully free (GNU GPLv3),Local client-server installation,"Web GUI, REST-API
","Convert from several input formats.
Run annotation tools on the server for automatic annotation.
Manually correct or annotate in the GUI.
Use the API to run processing or annotation tools remotely.","TEI, XML","The whole tool is TEI/XML based, with minimal deviation from the standard to make it possible to edit and process/display, but all such deviation can be converted to standard TEI in the export.","This tool is not a statistical model / a set of statistical models, but it does include statistical models. 
There is a native POS tagger (NeoTag) that can be easily trained in the GUI on the manually corrected data. But NeoTag is gradually being replaced by UDPIPE, which currently can only be trained in the GUI using the older 1.0 version.","TEI, XML","The input should ideally be in TEI/XML, but there are various conversion tools that convert from a collection of OCR, Spoken, and annotated formats. But all internal files are TEI/XML. The whole tool is TEI/XML based, with minimal deviation from the standard to make it possible to edit and process/display, but all such deviation can be converted to standard TEI in the export.","udpipe, IMS Corpus WorkBench, DraCor, NameTag 1, NameTag2, QuitaUp, INCePTION","Statistics expressing the mutual attraction of two words or short text segments (MI, Log-Likelihood Ratio).
Token frequencies, Lexical richness/diversity, Key words, Thematic concentration, Descriptivity/activity, Verb distance, Entropy, Hapaxes. 
Degree centrality, Eigenvector centrality, Weight",,CQL,"PMLTQ, Grew"
9,TXM desktop,,"TXM can be used to create and analyze four main types of textual corpora:
- written texts (possibly aligned with fac-simile).
- speech transcriptions (possibly synchronized with media files at word level).
- multilingual/parallel corpora.
- and corpora encoded in a table (e.g. answers to a survey, tweets).
TXM can automatically annotate texts with part of speech and lemma with the help of TreeTagger (or other NLP tools) or use linguistic annotations already encoded into the sources.

One specificity of TXM is that it can help analyse any kind of TEI encoded corpus by possibly adapting (with the help of an XSLT transformation stylesheets library) the texts encodings to its internal XML-TEI TXM format and data model if needed.

Another specificity of TXM is that it can help the user to process progressively his corpus from plain text to richly structured XML-TEI encoded text. It offers a continuous range of import modules covering the most frequently used standard formats:
- TXT: for any plain text coming from word processors, PDFs, websites, etc.
- XML: for slightly structured texts (only sentences or paragraphs for example) or linguistically enriched (with XML tags that encode certain words with lexical properties)
- TEI: for texts encoded according to the recommendations of the TEI consortium and which are intended to be capitalized for long-term projects, shared with other initiatives or compatible with archiving systems.

A project can apply TXM to its encoded data progressively, from the simplest way (and most limited to use) to the most complex way (and richest). TXM therefore makes it possible to adapt the costs of corpus encoding according to the real needs of the study, especially when these needs are discovered as the corpus is being analyzed. Under these conditions, TXM assists both the encoding activity and the exploitation of corpora.

When using TEI, TXM helps to build and host online rich HTML 5 + CSS 3 + Javascript based text editions, with possible fac-simile synoptic views (when page image links are simply encoded in <pb/> tags in the documents).

TXM supports various flavors of TEI P4/P5 encoding practices: Perseus, TextGrid, Base de Français Médiéval (BFM), BVH Epistemon, etc. TEI sources are preprocessed by several XSL stylesheets that are delivered with TXM. Other stylesheets are available in the TXM XSL stylesheets library online: http://sourceforge.net/projects/txm/files/library/xsl.

TXM provides four types of tools to analyze a corpus:
- Corpus configuration tools to build specific subcorpora or corpus partitions, based on sets of texts or sets of text structures (inside a text)
- Semi-manual annotation tools at word or word sequence level: through concordance or text reading
- Qualitative analytic tools like word pattern lists, concordances or progression views
- Quantitative analytic tools like word pattern cooccurrents analysis, keyword analysis, and contrastive tools like correspondence factorial analysis or cluster analysis

Every analytic tool uses word patterns expressed with search queries on annotations with the help of different search engines (Corpus Query Processor, TIGER Search or URSQL). For example, word patterns expressed with the CQL query language:
- ""aiming"": to simply search for the word 'aiming'
- [pos=""VERB"" & word="".*ing""]: to search for verb forms ending in "".ing"" (where Part of Speech annotation is present)
- [lemma=""group""] []{0,3} [pos=""VERB"" & word="".*ing""]: to search for the collocation <group lemma> followed by a <verb with progressive aspect> with at most 3 words in between

TXM makes an analysis working session more fluid by interconnecting the tools as much as possible through hypertextual links located in their result views. For example: a double-click from a density curve of a word pattern in a text (general view of Progression) to the Concordance of this pattern (focused contextual reading), then from a line of this concordance to an Edition page where the occurrence is highlighted (precise reading of the text), then from this page to the Playback of the video corresponding to the transcription at the time the occurrence is pronounced (verification in the primary source).

All statistical models used by the quantitative tools are implemented and documented in R.

Results can be exported as spreadsheets (for data) or images (for visualisations). Texts and annotations can be exported in XML-TEI format. Corpora can be exported as a .txm file to be loaded in another TXM or uploaded to a TXM portal server version for online access and analysis.

TXM tools can be driven by Groovy scripts (a Java based scripting language) or by R scripts.

This tool is compatible with: TreeTagger, UDPipe (prototype), CQP (Corpus Query Processor), CQP as a library version (https://gitlab.huma-num.fr/txm/txm-cqp), R textometry package (https://cran.r-project.org/web/packages/textometry/index.html), R FactoMineR package (https://cran.r-project.org/web/packages/FactoMineR/index.html)","corpus management, corpus extraction, corpus analysis, applying NLP methods, annotating",language-agnostic,"The tool is fully language independent: any Unicode script, any character collation.
Automatic linguistic annotations depend on NLP tools used or annotations imported from source.
For example, TreeTagger can lemmatize English, German, Italian, Spanish, Russian, Latin, Greek, Ancien Greek, Written Modern French, Spoken Modern French, Written Old French, Written Middle French, Written Early Modern French, etc. (see TreeTagger software description for all available languages)",v0.8.3,,2023-11-07,,"Windows, MacOS, Linux",,Copyright Not Evaluated,"Fully open (GNU GPLv3)
Pricing: Free","Local application: installed by OS dependent installation software
"," GUI in three languages (FR, EN & RU), script in Groovy, script in R
","Import a set of documents as a corpus.
Convert from several input formats to XML-TEI TXM internal pivot format, available input formats: .docx, .odt, .rtf, .txt, .xml, .tei, .tmx, .xlsx, .ods.
Run annotation tools for automatic annotation: TreeTagger (production), UDPipe, Stanford NLP, Talismane... (prototypes).
Manually annotate or correct automatic annotations through the GUI.
Extract various textual observables based on lexical patterns for searching and counting (for statistical models).
Build various sub-corpora and partitions.
Build various visualisations and data tables from statistical analysis of observables inside sub-corpora/partitions.
","DOCX, ODT, RTF, TXT, XML, TEI, TMX, XLSX, ODS, R dataframes, BMP","As spreadsheets [results data], as R data frames [results data], as images (vector or bitmap) [data visualisations], as XML-TEI [texts and annotations]. 
All input formats are converted to XML-TEI TXM pivot format internaly, including any XML-TEI as input. The XML-TEI TXM format is a specific TEI extension that can be normalized to TEI on export.","This tool is not a statistical model / a set of statistical models, but it does include statistical models.
Yes, TreeTagger can be trained from the GUI to build new language models from a corpus.","TEI, TEI TXM","The tool imports a set of documents as a corpus.
Metadata can be associated with each document through a spreadsheet file.
The structure of documents depends on their type:
- Written texts [the structure model is TEI format] : any XML-TEI structure encoding, links to fac-simile pages images, hyperlinks, etc.
- Speech transcriptions (eg interview recording) [the structure model is Transcriber software file format]: link to media file, episodes, speech turns and word level timing with media files
- Multilingual/parallel [the structure model is TMX format]: alignments on any structure (div, p...)
- As a table (eg answers to a survey, tweets set) [the structure model is a spreadsheet]: some columns for metadata and some columns for textual content

All input formats are converted to XML-TEI TXM pivot format internaly, including any XML-TEI as input. The XML-TEI TXM format is a specific TEI extension that can be normalized to TEI on export.",udpipe,"Statistics expressing the mutual attraction of two words or short text segments (specificity statistical measure):
Statistics expressing the attraction of a word or a short text segment with a sub-corpus of the whole corpus or with parts of a partition of the corpus (specificity statistical measure).
khi2","Bar plot showing statistic value for each word pattern searched, clusters hierarchy, factorial planes","TIGER Search, CQL, URSQL. Unit-Relation-Schema (URS)",TreeTagger
10,TXM portal,,"A TXM portal hosts textual corpora for online access and analysis.
Users can create a user account, verify their mail address, allow authenticated of anonymous access to each corpus and access their corpora online with a simple web browser. No TXM software installation is needed. A similar GUI as TXM desktop is built in the browser to access and analyze corpora, an URL based API allows to start a TXM portal session in a specific command with parameters on a specific corpus. TXM web portals are often used for courses with students.
Depending on access permission settings (e.g., set access permissions to user profiles, allow or disallow access to each corpus or on text level by commands), access can be anonymous (by anybody) or need a connexion and specific rights. This allows to share corpora within working groups. 
TXM portals allows to host rich text editions and combine them with analytic tools. See below for some examples of direct access to text editions inside a corpus hosted in a TXM portal.
A TXM portal is managed by a special user called a ‘portal administrator’ who manages corpora, user accounts and access permissions.
Corpora are first created with the TXM desktop software, then exported in a .txm file and uploaded to a TXM portal.
See the documentation of the tool “TXM desktop” for further details on the kind of corpora that can be hosted and the tools provided for analysis.
A TXM portal doesn’t implement all the analysis tools of the TXM desktop software, but whose two tools share the same platform core and are developped together.
Examples of direct access to a TXM portal by URL API:
- Direct access to an Edition page of an Old French (1225) Holy Grail manuscript transcription highligthing words “dist” and “Lancelot” with a synoptic view of 'facsimile, diplomatic and critical edition': http://portal.textometrie.org/demo?command=edition&path=/GRAAL&textid=qgraal_cm&editions=ms-colonne,diplomatique,courante&wordids=w_106_030047,w_106_030049 
- Direct access to a Concordance of the word 'Lancelot' (then double-click on a line to read the full text): http://portal.textometrie.org/demo?command=concordance&path=/GRAAL&query=%22Lancelot%22 
- Direct access to an Edition page of an ancient Babylonian (-IIth mil.) tablet transcription with synoptic view combining the transliterated version, the cuneiform version and the facsimile image of the tablet: http://portal.textometrie.org/demo/?command=edition&path=/OBLCUNEIF&textid=TXM_cuneif_Ha_S_AbB_2_4&editions=translit,cuneiform,facs&pageid=3 

Examples of public TXM portals:
- Lyon, BFM-TXM portal (Old French litterature), UMR IHRIM laboratory: http://txm.bfm-corpus.org/ 
- Tours, BVH-TXM portal (Montaigne, Rabelais, Ronsard, etc.), UMR CESR laboratory: http://txm.bvh.univ-tours.fr/txm 
- Montpellier, Praxiling TXM portal, UMR PRAXILING laboratory: http://textometrie.univ-montp3.fr/txm 
- Paris, TXM portal of the French TreeBank (FTB) corpus, UMR LLF laboratory: http://manganese.lab.parisdescartes.fr:8813/txm/ 
- Besançon, TXM portal, EA ELLIADD laboratory: http://fanum-txm.univ-fcomte.fr/txm 


This tool is compatible with: TreeTagger, Corpus Query Processor, R
","portal management, corpus management, corpus analysis, information extraction",language-agnostic,"Like the TXM desktop, the tool is fully language independent: any Unicode script and character collation.
Linguistic annotations depend on NLP tools used or annotations imported from source.
For example, TreeTagger can lemmatize English, German, Italian, Spanish, Russian, Latin, Greek, Ancient Greek, written modern French, spoken modern French, written old French, writen middle French, written early modern French, etc. (see TreeTagger description for all available languages).
",v0.6.3,,2022-12-02,,Linux,Linux - Ubuntu 20.04,Copyright Not Evaluated,Fully free (GNU GPLv3),"Web application:
Administrators install the TXM portal software on a Ubuntu server.
Users access the TXM portal through a simple web browser (no installation).
","GUI, API
","No source text processing on a TXM portal.
Corpora are first created locally from sources with TXM desktop software, then exported to a .txm file, and then uploaded to a TXM portal.
","CSV, BMP","As .csv [results data], as images (bitmap) [data visualisations]. 
All formats are converted to XML-TEI TXM pivot format on input, including any XML-TEI as input. The XML-TEI TXM format is a specific TEI extension that can be normalized to TEI on export. If a corpus uploaded to a TXM portal contains the text pivot sources (option), then the corpus download from the TXM portail delivers the XML-TEI TXM text files","This tool is not a statistical model / a set of statistical models, and it does not include statistical models.","TEI, TEI TXM","The tool imports a set of documents as a corpus.
Metadata can be associated with each document through a spreadsheet file.
The structure of documents depend on their type:
- Written texts [structure model TEI]: any XML-TEI structure encoding, links to fac-simile images, hyperlinks, etc.
- Speech transcriptions (e. g. interview recording) [structure model Transcriber]: link to media file, episodes, speech turns and word level timing with media files
- Multilingual/parallel [structure model TMX]: alignments on any structure (div, p...)
- As a table (e. g. answers to a survey, tweets) [structure model spreadsheet]: columns for metadata and columns for textual content

All formats are converted to XML-TEI TXM pivot format on input, including any XML-TEI as input. The XML-TEI TXM format is a specific TEI extension that can be normalized to TEI on export. If a corpus uploaded to a TXM portal contains the text pivot sources (option), then the corpus download from the TXM portail delivers the XML-TEI TXM text files",,"Statistics expressing the mutual attraction of two words or short text segments (specificity statistical measure).
Statistics expressing the attraction of a word or a short text segment with a sub-corpus of the whole corpus or with parts of a partition of the corpus (specificity statistical measure).
chi-square",Bar plot showing statistic value for each word pattern searched,"CQL, TIGER Search",
11,Calc,,"Calc provides quick support to users when calculating basic statistical tasks most commonly encountered in corpus research. The GUI is divided into a number of modules reflecting specific research problems. Unlike other similar tools, Calc is task-based, which means that suitable statistical tests have already been pre-selected for a given task, so that users can draw statistically well-founded conclusions based on the input data.
The tool does not process a text. The input is typically numbers (frequencies) and the output is statistical significance, confidence intervals etc.","applying NLP methods, statistical analysis",language-agnostic,Any (it is language-agnostic),unknown,,unknown,,Linux,,Copyright Not Evaluated,fully free,Shiny web application,GUI,,,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models, but it implements basic statistical tests. ",,,,Various metrics,,,
