 ,toolname,alternate name,what can this tool do for you?,primary_purpose_consolidated_CLSCor_vocab,Language_consolidated,Language_comment,Version_consolidated,Version_comment,Version Date_consolidated,Version Date_comment,Works on Operating Systems (consolidated CLSCor vocab),Works on Operating Systems_comment,License (consolidated CLSCor vocab),License_comment,Distribution,User interface,How does the tool process your text,output_format (consolidated CLSCor vocab),output_format_comment,statistical_models,input_format (consolidated CLSCor vocab),input_format_comment,Which other tools from this list does this tool integrate?,metric,visualisation,formalism,tagset
12,Flair,,"Flair is an open-source Python library which allows users to 1) use the trained models provided by Flair and 2) to train their own NLP-models using the provided Python library framework. The tool builds upon the state-of-the-art deep learning Pytorch framework.
Examples of how a model can be trained can be found on their GitHub pages: https://github.com/flairNLP/flair/blob/master/resources/docs/TUTORIAL_7_TRAINING_A_MODEL.md . 
Tasks you can perform include but are not limited to Named Entity Recognition (NER), sentiment analysis, Parts-of-speech tagging (POS) and text classification.
Since the tool is a Python library, you need a programming environment to use it. You can also use it in Colab, Google’s online IDE (example: https://www.analyticsvidhya.com/blog/2019/02/flair-nlp-library-python/). ",applying NLP methods,"Danish, Dutch, English, French, German, Spanish",,v0.11,,2022-04-10,,"Windows, Unix, MacOS, Linux",,Copyright Not Evaluated,Fully free ,Library for Python,none,"Automatically adds some labels (annotation) to your texts, whether it is a sentiment label on the level of a text chunk or an entity label on the sequence level.",TXT,"The tool does not support XML-TEI at all, only plain text.","The tool provides a framework to train your own Named Entity Recognition and sentiment analysis models, and to use the already trained Huggingface transformer models trained and made available by Flair.
You can easily train your own statistical model using the framework provided by this tool and your own labeled data.",TXT,"The tool accepts plain text as input to generate labels. To train models, it requires the data to be in a specific format as specified on their GitHub.",,,,Universal Dependencies,"Universal Dependencies. 
PER (person), LOC (location), ORG (organisation), MISC (miscellaneous).
positive, neutral, negative"
13,NameTag 1,,This tool marks named entities in your texts. You can easily supply to it your own NER model in any language. ,applying NLP methods,"Czech, English",This list presents currently available language models. Your own model can be for any language. ,v1.2.0,,2023-02,February 2023 (maintenance version of a release from 2021-04-21),Linux,,Mozilla Public License 2.0,Fully free (Mozilla Public License 2.0),"webservice (http://lindat.mff.cuni.cz/services/nametag).
code (https://github.com/ufal/nametag/releases/tag/v1.2.0). 
","web GUI, REST API",The tool detects and marks named entities.,TXT,The tool produces XML tags but does not support XML-TEI input. ,"This tool is not a statistical model / a set of statistical models, but it does include statistical models.
You can easily train your statistical model to plug in this tool. ","TXT, VERTICAL, CoNLL-U","plain text, vertical, CoNLL-U.
The tool produces XML tags but does not support XML-TEI input. ",NameTag1 Models,,,,depending on language model
14,NameTag 1 Models,,These are models to plug in the NameTag2 named-entity recognizer. ,applying NLP methods,"Czech, English",,unknown,,2014,,,,Creative Commons Attribution Non Commercial Share Alike 4.0 International,Fully free (CC-BY-NC-SA 4.0),zipped files from the LINDAT/CLARIAH-CZ repository,none,"It gives the named-entity recognizer the know-how of named-entity annotation in a given language, according to a given tagset. ",,,This tool is a statistical model / a set of statistical models.,,,,,,dependent on language model,dependent on language model
15,NameTag 2,,"This tool marks named entities in your texts. When named entities are nested, it recognizes the nestings. For instance, two entities can be recognized in Humboldt University: institution (the whole string) and surname (Humboldt). ",applying NLP methods,"Czech, Dutch, English, German, Spanish, Ukrainian","
This list presents currently available language models. ",v2.0.0,,2021-04-21,,Linux,,Mozilla Public License 2.0,Fully free (Mozilla Public License 2.0),"webservice (http://lindat.mff.cuni.cz/services/nametag).
code to run your own NameTag server.
commandline tool at (https://github.com/ufal/nametag/releases/tag/v2.0.0).
","web GUI, REST API",The tool detects and marks named entities.,TXT,The tool produces XML tags but does not support XML-TEI input. ,"This tool is (not) a statistical model / a set of statistical models, and/ but it does (not) include statistical models.
You can(not) easily train your statistical model to plug in this tool. ","TXT, VERTICAL, CoNLL-U","plain text, vertical, CoNLL-U.
The tool produces XML tags but does not support XML-TEI input. ",NameTag2 Models,,,,depending on language model
16,NameTag 2 Models,,These are models to plug in the NameTag2 named-entity recognizer. ,applying NLP methods,"Czech, Dutch, English, German, Spanish, Ukrainian",,unknown,,unknown,,,,Creative Commons Attribution Non Commercial Share Alike 4.0 International,Fully free (CC-BY-NC-SA 4.0),zipped files from the LINDAT/CLARIAH-CZ repository,none,"It gives the named-entity recognizer the know-how of named-entity annotation in a given language, according to a given tagset. ",,,This tool is a statistical model / a set of statistical models.,,,,,,dependent on language model,dependent on language model
17,QuitaUp,,"After you upload a text, the tool performs basic text-processing functions using UD Pipe (tokenization, lemmatization, POS tagging, syntactic parsing). These functions are available only for ca 20 languages. The tool then calculates ca 16 stylometric indices of the input text.","applying NLP methods, applying textometry methods",language-agnostic,The tool supports all languages that can be parsed with UDPipe. ,unknown,,unknown,,Linux,,Copyright Not Evaluated,Fully free ,Shiny web application,GUI,Returns some metrics as numbers or tables.,,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.
You can(not) easily train your statistical model to plug in this tool. ","TXT, DOCX, DOC, ODT, RTF, PDF","The tool can handle .txt, .docx, .doc, .odt, .rtf or .pdf formats and treats them all as plain text. ",udpipe,"Token frequencies, Lexical richness/diversity, Key words, Thematic concentration, Descriptivity/activity, Verb distance, Entropy, Hapaxes",,,
18,spaCy,,"spaCy is a free open-source Python library for advanced Natural Language Processing purposes.
Everything the library can do is neatly outlined here: https://spacy.io/usage/spacy-101/ . 
Tasks you can perform include but are not limited to Named Entity Recognition (NER), sentiment analysis, Parts-of-speech tagging (POS), lemmatization, entity linking, rule-based matching, and text classification. It allows you to train your own domain-specific models – but you can also use the ones provided by the library.
Since the tool is a Python library, you need a programming environment to use it, and knowledge of NLP. For digital humanities purposes, there is a great YouTube series (https://www.youtube.com/@python-programming) which shows how you can use spaCy in different DH settings (from information extraction to visualization).",applying NLP methods,"Catalan, Valencian, Chinese, Croatian, Danish, Dutch, English, Finnish, French, German, Greek, Italian, Japanese, Korean, Lithuanian, Macedonian, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Ukrainian",Dutch (not Flemish),v3.5,,2022-04-10,,"Windows, Unix, MacOS, Linux",,Copyright Not Evaluated,Fully free ,Library for Python,none,Automatically adds some labels (annotation) to your texts.,,,"This tool is not a statistical model / a set of statistical models, but it does include statistical models.
Yes. (see explanation here: https://spacy.io/usage/spacy-101/ ).",TXT,"It accepts plain text as input to generate labels. To train models, it requires the data to be in a specific format as specified on their website (https://spacy.io/).",,,,Universal Dependencies,"Universal Dependencies.
positive, neutral, negative"
19,UDapi,,"Udapi is a framework providing an API for processing Universal Dependencies data. You can use it to similar tasks as the tree query languages PMLTQ or Grew, but it gives you much more freedom. Also, you can run Udapi on your data directly, while both PMLTQ and Grew need to first create a relational database of your entire data. This also means that you can process larger data with Udapi than with PMLTQ and Grew. 
However, this comes at a cost – you must be able to write a Python script and read developer documentation. So far, the tools has been used in the treebanking community, but there is no fool-proof tutorial yet for newcomers to the field. 
The tool is structured in packages and modules (https://udapi.readthedocs.io/en/latest/ modules.html). To search trees, the udapi.core package is the relevant one. Nodes and their attributes are represented as object classes with defined properties and methods. To explain the logic of these properties and methods, tutorials tailored to the CLS community are likely to be needed. ",applying NLP methods,language-agnostic,Any (it is language-agnostic),v0.3.0,,2022-04-06,,"Windows, MacOS, Unix, Linux",,Copyright Not Evaluated,Fully free (GNU GPL3.0),Python library,none,"The tool reads connl-u files and enables search, visualization as well as extraction of text/annotation snippets and tree manipulation.",,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",CoNLL-U,,,user can compute their own statistics,,Universal Dependencies,Universal Dependencies
20,UDPipe1,,"This is an older version of UDPipe2, the tagger, lemmatizer, and syntactic parser. It uses language models trained on the Universal Dependencies treebank collection, which you can browse and learn more about at universaldependencies.org. The language models are retrained twice a year, after the regular updates of the treebank collection by the Universal Dependencies Treebanks team. Depending on the changes in the treebank collection, the update may provide more training data for already existing language models or even new language models.
UDPipe1 achieves a somewhat lower performance than UDPipe2, but it is comfortably trainable by the users, given annotated data in the CoNLL-U format. It is still being maintained.  
This tool is compatible with Universal Dependencies Language Models",applying NLP methods,"Afrikaans, Ancient Greek, Arabic, Armenian, Basque, Belarusian, Bulgarian, Catalan, Chinese, Classical Chinese, Coptic, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, Galician, German, Gothic, Greek, Hebrew, Hindi, Hungarian, Indonesian, Irish, Italian, Japanese, Korean, Latin, Latvian, Lithuanian, Maltese, Marathi, North Sami, Norwegian, Old Church Slavonic, Old French, Old Russian, Persian, Polish, Portuguese, Romanian, Russian, Scottish Gaelic, Serbian, Slovak, Slovenian, Spanish, Swedish, Tamil, Telugu, Turkish, Ukrainian, Urdu, Uyghur, Vietnamese, Wolof","Note that UDPipe 1 models differ from UDPipe2 models. The last pre-trained model version is 2.5 and contains fewer languages than more recent models. Also, some training corpora for the represented languages may be smaller.  
The parsers itself is language-agnostic. The list shows the pre-trained models. ",v1.3.0,,2023-02-16,,"Linux, Windows, MacOS",MacOS - OsX,Mozilla Public License 2.0,Fully free (Mozilla Public License 2.0),"UDPipe is available as a binary for Linux/Windows/OS X, and as a library for C++, Python, Perl, Java, C#. Third-party R CRAN package also exists. 

",,"It recognizes tokens and adds labels to each token, regarding its morphological characteristics as well as its syntactic relation to a governing token in the Universal Dependencies formalism. ",,,"This tool is not a statistical model / a set of statistical models, but it does include statistical models.
You can easily train your statistical model to plug in this tool. 
","TXT, CoNLL-U, VERTICAL","Plain text, CoNLL-U, vertical... see documentation for more detail on accepted plain-text formats. ",,,,Universal Dependencies,Universal Dependencies
21,UDPipe2,,"This is a tagger, lemmatizer, and syntactic parser. It uses language models trained on the Universal Dependencies treebank collection, which you can browse and learn more about at universaldependencies.org. The language models are retrained twice a year, after the regular updates of the treebank collection by the Universal Dependencies Treebanks team. Depending on the changes in the treebank collection, the update may provide more training data for already existing language models or even new language models. 
UDPipe is a state-of-the art system. This means that it is able to learn from less data than older systems. However, the truth is, still, that the quality of the analysis depends on the size of training data related to the complexity of the language. Hence, e. g. languages with rich inflection or very specific syntax need bigger training data. Besides, the UDPipe developers do normally not actively look for external resources for specific languages, such as morphological lexicons. There are known cases of parsers optimized for one given language with bigger data and additional resources, which perform better than UDPipe, e. g. the Magyarlanc parser for Hungarian. 
When considering several parsers for your language, have a look at the evaluation of the UDPipe performance with the models from a given relase here: https://ufal.mff.cuni.cz/udpipe/2/models
When you evaluate this parser for your data, mind to record the model and version you were using. Note that one language can have several separate models from different domains, e. g.  newspapers and data from social networks!
This tool is compatible with Universal Dependencies Language Models, UDPipe 1 (it uses its tokenizer by default).",applying NLP methods,"Afrikaans, Ancient Greek, Ancient Hebrew, Arabic, Armenian, Basque, Belarusian, Bulgarian, Catalan, Chinese, Classical Chinese, Coptic, Croatian, Czech, Danish, Dutch, English, Erzya, Estonian, Faroese, Finnish, French, Galician, German, Gothic, Greek, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Irish, Italian, Japanese, Korean, Latin, Latvian, Lithuanian, Maghrebi Arabic French, Maltese, Manx, Marathi, Naija, North Sami, Norwegian, Old Church Slavonic, Old East Slavic, Old French, Persian, Polish, Pomak, Portuguese, Romanian, Russian, Sanskrit, Scottish Gaelic, Serbian, Slovak, Slovenian, Spanish, Swedish, Tamil, Telugu, Turkish, Ukrainian, Urdu, Uyghur, Vietnamese, Welsh, Western Armenian, Wolof","The parser itself is language-agnostic, but it works with language-specific models. The current models exist for languages listed in the table below. ",unknown,"Note: UDPipe exists in two versions. Version 2 is a Python prototype (while UDPipe 1 is a user-friendly standalone C++ application with bindings for Python, Java, C#, and Perl). In general, it is meant for research, not as a user-friendly replacement for UDPipe1. 
It does not perform tokenization by itself: it uses UDPipe1 to do that, or you can select a language-independent generic script. In comparison to UDPipe1, its language models require more computation power (while the UDPipe1 models are small and fast). On the other hand, it mostly performs better than UDPipe1, since the models are neural-network (BERT) based. 
If you use the R library udpipe by J. Wijffels, mind that it operates with UDPipe 1. If you want to take advantage of the UDPipe2 output, you have to call the UDPipe2 API outside of this library (and then you can of course use the resulting CoNLL-U file with other udpipe functions).    ",2022-08-05,,Linux,"Linux (not tested for other operation systems).
Online through a REST API.
",Creative Commons Attribution Non Commercial Share Alike 4.0 International,License: Fully free (CC BY-NC-SA 4.0),"Local application (source code at https://github.com/ufal/udpipe/releases/tag/v2.0.0).
Cloud service.
Python script to interact with the API (https://github.com/ufal/udpipe/blob/udpipe-2/udpipe2_client.py).",,Automatically adds some labels (annotation) to your texts.,CoNLL-U,UDPipe 2 does not support XML-TEI at all but there are various tools to combine the CoNLL-U output with TEI.,"This tool is not a statistical model / a set of statistical models, but it does include statistical models.
To train a model for UDPipe2 yourself, you would have to set up a UDPipe 2 instance locally and run the source scripts as described here: https://github.com/ufal/udpipe/tree/udpipe-2.   
So, theoretically yes, but it is not meant to be performed by users without solid programming background.  
If you want to train your model yourself before the release for UDPipe 2, you can easily do so with UDPipe 1, although probably with somewhat lower performance than UDPipe2 would achieve.
You are very welcome to contribute to the Universal Dependencies Treebanks. Once your treebank is valid and large enough (10,000 tokens), it will be automatically included in the next version of the models for UDPipe 2. ","CoNLL-U, VERTICAL","The input for UDPipe 2 parser must be UTF-encoded text without any other markup. Structuring options:
- CoNLL-U
- horizontal (each sentence on a separate line)
- vertical (each token on a separate line, with an empty line denoting end of the sentence.  
For details, see https://lindat.mff.cuni.cz/services/udpipe/api-reference.php and look for Method process, parameter input.

",UDPipe1,,,Universal Dependencies,Universal Dependencies
22,Universal Dependencies Models for UDPipe,UDPipe language models,"This is a package of language models for the UDPipe parser and tagger. It is updated after each update of the Universal Dependencies treebank collection at universaldependencies.org. Depending on the changes in the treebank collection, the update may provide more training data for already existing language models or even new language models. 
UDPipe is a state-of-the art system. This means that it is able to learn from less data than older systems. However, the truth is, still, that the quality of the analysis depends on the size of training data related to the complexity of the language. Hence, e. g. languages with rich inflection or very specific syntax need bigger training data. Besides, the UDPipe developers do normally not actively look for external resources for specific languages, such as morphological lexicons. There are known cases of parsers optimized for one given language with bigger data and additional resources, which perform better than UDPipe, e. g. the Magyarlanc parser for Hungarian. 
When considering several parsers for your language, have a look at the evaluation of the UDPipe performance with the models from a given relase here: https://ufal.mff.cuni.cz/udpipe/2/models
This tool is integrated into the UDPipe2 parser. ",applying NLP methods,,,v2.10.,"These models form an eco-system with Universal Dependencies treebanks (Agić et al., 2015). The Universal Dependencies Treebanks are regularly updated twice a year, and so are the models based on them
",2022-07-11,,"Windows, Unix, MacOS, Linux",,Creative Commons Attribution Non Commercial Share Alike 4.0 International,Fully free (CC BY-NC-SA 4.0),a zipped file ,none,"When plugged in the UDPipe parser, it makes it automatically add some labels (annotation) to your texts.",,,"This tool is a statistical model / a set of statistical models.
You cannot easily train your statistical model to plug in this tool. It is possible, but rather complex for a user without solid programming background. However, you are very welcome to contribute to the Universal Dependencies Treebanks. Once your treebank is valid and large enough (min. 10,000 tokens), it will be automatically included in the next version of the models for the current UDPipe parser (UDPipe 2.0). 
If you want to train your model yourself before the release for UDPipe2, you can easily do so with UDPipe 1.0, with probably somewhat lower performance than UDPipe2 would achieve.
To train a model for UDPipe2 yourself, you would have to set up a UDPipe instance locally and run the source scripts as described here: https://github.com/ufal/udpipe/tree/udpipe-2.   
",,,UDPipe2,,,Universal Dependencies,Universal Dependencies
23,udpipe,UDPipe R library,"This tool is an R library that allows for using the UDPipe 1 parser directly within R. Besides, it provides a range of handy functions for text mining, such as basic frequency statistics, collocation analysis, key word extraction, and topic modeling with Latent Dirichlet Allocation as well as Latent Semantic Analysis.
This tool is compatible with UDPipe1, UDPipe Language Models.","applying NLP methods, corpus analysis",language-agnostic,"Note that this tool uses the UDPipe 1 parser and hence can only use models up to version 2.5, which is the last pre-trained model version for UDPipe1. It contains fewer languages than more recent models trained for UDPipe2, which you cannot use through this library. Also, some training corpora for the represented languages may be smaller.  
The parsers itself is language-agnostic. The list below shows the pre-trained models",v0.8.11,,2023-01-06,,"Windows, Unix, MacOS, Linux",,Mozilla Public License 2.0,Fully free (MPL-2.0),,none,"It runs the UDPipe 1 parser on your text. In addition, you can analyze keywords, collocations, and topics of any text in the CoNLL-U format. That is, you can parse something with UDPipe 2 outside this library directly through the UDPipe2 REST API (e.g. using the RCurl library in R) and then continue with this udpipe library to analyze the CoNLL-U file. ",,,"This tool is not a statistical model / a set of statistical models, but it does include statistical models.
You can easily train your statistical model to plug in this tool. ",TXT,Plain text,UDPipe1,Probabilities of different tags with different words for a language (domain),,Universal Dependencies,Universal Dependencies
24,Alberti,Alberti Multilingual Model,"This is a language model trained with poetic texts that returns word embeddings. It has been trained for the word masking task, but it fills the masked token by trying ot be poetic rather than the most probable one. For example, for the sentence “I went to the library to buy a <MASK>” it would return “treasure” instead of “book”.",poetry processing,"English, French, Italian, Czech, Portugese, Spanish, Arabic, Chinese, Finnish, German, Hungarian, Russian",,v1.0,,2022,,"Windows, Unix, MacOS",,Creative Commons Attribution 4.0 International,Fully free (CC-BY-4.0),Language model (transformers),none,It returns word-embeddings,,,"This tool is a statistical model / a set of statistical models (transformer).
You can easily train your statistical model to plug in this tool. ",,,,,,,
25,Alberti-stanzas,,This is a language model trained with poetic texts that returns word embeddings. It has been trained for the stanzas detection task port Spanish poetry. It can return the stanza type of a Spanish poem.,"poetry processing, applying NLP methods",Spanish,,unknown,,2022,,"Windows, Unix, MacOS, Linux",,Creative Commons Attribution 4.0 International,CC-BY-4.0,Language model (transformers),GUI,Automatic annotation of stanza type for Spanish poems,,,"It is a fine-tuned transformers model.
You can easily train your statistical model to plug in this tool. ",TXT,Plain text,,,,,
26,Averell,,"Averell is a python library and command line interface that facilitates working with existing repositories of annotated poetry. Averell is able to download an annotated corpus and reconcile different TEI entities to provide a unified JSON output at the desired granularity. That is, for their investigations some researchers might need the entire poem, poems split line by line, or even word by word if that is available. Averell allows to specify the granularity of the final generated dataset, which is a combined JSON with all the entities in the selected corpora. Each corpus in the catalog must specify the parser to produce the expected data format.","poetry processing, applying NLP methods",language-agnostic,"For automatic annotation: Spanish / For automatic integration: any (it is language-agnostic)
",v1.2.3,,2023-12-11,,"Windows, Unix, MacOS, Linux",,Apache Software License 2.0,"Fully free (Apache Software License 2.0)

","Local application, Library for Python
","GUI, Command line","Automatically adds some labels (annotation) to your texts.
Downloads an annotated corpus and reconcile different TEI entities to provide a unified JSON output at the desired granularity.
","JSON, XML RDF, TEI","JSON,  Ontopoetry RDF, TEI work in progress.
The tool requires or accepts text in XML-TEI, adds its markup in XML-TEI, and ensures valid XML-TEI on the output. 
The tool requires or accepts text in XML-TEI but the original markup gets lost and/or the output will not be integrated into the original XML-TEI format.    ","This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",TEI,"The input format does not matter but the following information must be given as a bare minimum:
- Corpus name
- Annotation type (manual, automatic, or none)
- Author name
- Poem title
- Poem text split into stanzas

The tool requires or accepts text in XML-TEI, adds its markup in XML-TEI, and ensures valid XML-TEI on the output. 
The tool requires or accepts text in XML-TEI but the original markup gets lost and/or the output will not be integrated into the original XML-TEI format.    ",Rantanplan,,,,
27,Horace,,"Format converter from PoetryLab JSON to POSTDATA semantic formats. It receives a scansion dictionary from Rantanplan and outputs an RDFLib  Graph object. With it, serialization options become available.","poetry processing, applying NLP methods",Spanish,,unknown,,2021,,"Windows, MacOS, Unix",,Apache Software License 2.0,Fully free (Apache 2.0),"Local application, Library for Python
",none,"Automatically adds some labels (annotation) to your texts.

",,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",JSON,JSON using the rantanplan format,,,,,
28,Poetrylab,alias Poetrylab web,"This is a web application show and visualize poetic information for the POSTDATA multilingual corpus. You can search by author, or poem name, or write your own poem, and you can visualize the metrical and structural information.","poetry processing, automatic annotation, corpus management",language-agnostic,This tool is language-agnostic (supports any language),unknown,,2022-04-27,,"Windows, Unix, MacOS",,Apache Software License 2.0,Fully free (Apache 2.0),Local application,GUI,"Automatically adds some labels (annotation) to your texts.
Allows you to search through your texts and returns matching results.",,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.",TXT,Plain text,,,,,
29,Poetrylab-API,,"The PoetryLab API is a REST API that provides an analysis  endpoint to extract information about the poems. It can annotate Spanish poetry with rhyme, metric, enjambment, and part of speech.
Only the method POST is allowed at the /analysis endpoint. A playground interface documenting the API can be found at the /ui endpoint.","poetry processing, applying NLP methods",Spanish,,unknown,,2021-09-17,,"Windows, Unix, MacOS",,Apache Software License 2.0,Fully free (Apache 2.0),"REST API, Library for Python
",API-REST,The tool automatically adds some labels (annotation) to your texts.,,,"This tool is a statistical model / a set of statistical models, but it does not include statistical models.
You can easily train your statistical model to plug in this tool. ",TXT,Plain text,Rantanplan,,,,
30,rhymetagger,,"A simple collocation-driven recognition of rhymes. Contains pre-trained models for Czech, Dutch, English, French, German, Russian, and Spanish poetry.
The tool accepts a flat Python list of verse lines or list of lists (stanzas X lines) as input.","poetry processing, applying NLP methods",language-agnostic,"The tool is language-agnostic (i. e. supports any language you train your language model for). Currently it has pre-trained models for Czech, Dutch, English, French, German, Russian, and Spanish.   ",v0.2.2,,2021-03-02,,"Windows, Unix, MacOS, Linux",,Copyright Not Evaluated,Fully free,Library for Python,none,Returns some metrics as numbers or tables.,,,"This tool is not a statistical model / a set of statistical models, but it does not include statistical models.
You can easily train your statistical model to plug in this tool. ",,,,,,,
31,Rantanplan,,"It can annotate Spanish poetry with rhyme, meter, and part of speech.","poetry processing, applying NLP methods",Spanish,,v0.8.0,,2023-12-19,,"Windows, Unix, MacOS, Linux",,Apache Software License 2.0,,Library for Python,none,Automatically adds some labels (annotation) to your texts.,,,"This tool is not a statistical model / a set of statistical models, and it does not include statistical models.
You can easily train your statistical model to plug in this tool. ",TXT,Plain text,,,,,